name,url,file_size,domestic_total_gross,distributor,release_date,genre,runtime,mpaa_rating,production_budget
eureka,http://www.boxofficemojo.com/movies/?id=eureka.htm,16329,"$123,572",United Artists,"October 5, 1984",Unknown,2 hrs. 10 min.,R,N/A
1998bugsbunnyfilmfestival,http://www.boxofficemojo.com/movies/?id=1998bugsbunnyfilmfestival.htm,17794,"$413,076",Warner Bros.,"February 13, 1998",Animation,N/A,Unrated,N/A
littlemermaid98,http://www.boxofficemojo.com/movies/?id=littlemermaid98.htm,21661,"$27,187,616Domestic Lifetime Gross: $111,543,479",Buena Vista,"November 14, 1997",Animation,1 hrs. 23 min.,G,N/A
standupguys,http://www.boxofficemojo.com/movies/?id=standupguys.htm,22754,"$3,310,031",Lionsgate,"February 1, 2013",Action Comedy,1 hrs. 33 min.,R,N/A
lambertandstamp,http://www.boxofficemojo.com/movies/?id=lambertandstamp.htm,17751,"$183,320",Sony Classics,"April 3, 2015",Documentary,2 hrs. 0 min.,R,N/A
midsummernightssexcomedy,http://www.boxofficemojo.com/movies/?id=midsummernightssexcomedy.htm,19771,"$9,077,269",Warner Bros.,"July 16, 1982",Comedy,1 hrs. 28 min.,PG,N/A
lostintranslation,http://www.boxofficemojo.com/movies/?id=lostintranslation.htm,26272,"$44,585,453",Focus Features,"September 12, 2003",Comedy,1 hrs. 42 min.,R,$4 million
easymoney2012,http://www.boxofficemojo.com/movies/?id=easymoney2012.htm,19195,"$205,741",Weinstein Company,"July 11, 2012",Foreign,2 hrs. 4 min.,R,N/A
monstersinc2,http://www.boxofficemojo.com/movies/?id=monstersinc2.htm,40867,"$268,492,764",Buena Vista,"June 21, 2013",Animation,1 hrs. 47 min.,G,N/A
snakeeyes,http://www.boxofficemojo.com/movies/?id=snakeeyes.htm,22700,"$55,591,409",Paramount,"August 7, 1998",Thriller,1 hrs. 38 min.,R,$73 million
talladeganights,http://www.boxofficemojo.com/movies/?id=talladeganights.htm,32496,"$148,213,377",Sony / Columbia,"August 4, 2006",Sports Comedy,1 hrs. 50 min.,PG-13,$72.5 million
allnighter,http://www.boxofficemojo.com/movies/?id=allnighter.htm,19982,"$2,700,000",Universal,"May 1, 1987",Unknown,1 hrs. 35 min.,PG-13,N/A
power,http://www.boxofficemojo.com/movies/?id=power.htm,20185,"$3,800,000",Fox,"January 31, 1986",Unknown,1 hrs. 51 min.,R,N/A
chappie,http://www.boxofficemojo.com/movies/?id=chappie.htm,25637,"$31,569,268",Sony / Columbia,"March 6, 2015",Sci-Fi Action,2 hrs. 0 min.,R,$49 million
sisteract2,http://www.boxofficemojo.com/movies/?id=sisteract2.htm,23116,"$57,319,029",Buena Vista,"December 10, 1993",Comedy,1 hrs. 47 min.,PG,N/A
insidiouschapter3,http://www.boxofficemojo.com/movies/?id=insidiouschapter3.htm,24296,"$52,218,558",Focus Features,"June 5, 2015",Horror,1 hrs. 37 min.,PG-13,$10 million
thepretendwife,http://www.boxofficemojo.com/movies/?id=thepretendwife.htm,30490,"$103,028,109",Sony / Columbia,"February 11, 2011",Romantic Comedy,1 hrs. 50 min.,PG-13,$80 million
maskofzorro,http://www.boxofficemojo.com/movies/?id=maskofzorro.htm,25857,"$94,095,523",Sony / Columbia,"July 17, 1998",Period Adventure,2 hrs. 17 min.,PG-13,$95 million
