year,rank,distributor,market_share,total_gross,movies_tracked,movies_released
2000,1,Buena Vista,0.155,1175600000.0,30,21
2000,2,Universal,0.141,1069099999.9999999,19,13
2000,3,Warner Bros.,0.11900000000000001,905300000.0,28,22
2000,4,Paramount,0.10400000000000001,791100000.0,19,12
2000,5,DreamWorks SKG,0.10300000000000001,777200000.0,12,10
2000,6,20th Century Fox,0.095,723300000.0,17,13
2000,7,Sony / Columbia,0.09,681500000.0,34,29
2000,8,New Line,0.049,374500000.0,16,14
2000,9,Miramax,0.048,365300000.0,27,23
2000,10,Dimension Films,0.015,110900000.0,2,2
2000,11,MGM/UA,0.013999999999999999,105900000.0,8,7
2000,12,USA Films,0.012,89700000.0,18,14
2000,13,Artisan,0.01,73300000.0,11,8
2000,14,IMAX,0.008,63700000.0,11,2
2000,15,Destination,0.006999999999999999,55300000.0,5,5
2000,16,Sony Classics,0.006,47200000.0,19,13
2000,17,Lionsgate,0.004,33100000.0,20,18
2000,18,Fine Line,0.003,22100000.0,11,10
2000,19,Fox Searchlight,0.003,19400000.0,8,6
2000,20,Focus Features,0.002,17100000.0,2,2
2000,21,Paramount Classics,0.002,16399999.999999998,7,6
2000,22,MacGillivray Freeman Films,0.002,13000000.0,1,0
2000,23,TSG,0.001,6700000.0,2,2
2000,24,Trimark,0.001,5400000.0,3,3
2000,25,Eros,0.0,3500000.0,19,19
2000,26,N Wave,0.0,3200000.0,1,0
2000,27,Zion,0.0,2600000.0,1,1
2000,28,Cowboy,0.0,1800000.0,3,4
2000,29,Yash Raj,0.0,1700000.0,2,2
2000,30,First Look,0.0,1300000.0,3,2
2000,31,Equinox,0.0,1200000.0,1,1
2000,32,Rainforest,0.0,1200000.0,1,1
2000,33,Kino,0.0,1100000.0,4,4
2000,34,Empire,0.0,1100000.0,2,2
2000,35,Indican,0.0,1100000.0,4,4
2000,36,Iron,0.0,1100000.0,1,1
2000,37,Video Sound,0.0,962000000000.0,2,2
2000,38,Zeitgeist,0.0,927000000000.0,1,1
2000,39,Hombre,0.0,886000000000.0,1,1
2000,40,Odeon,0.0,823000000000.0,2,2
2000,41,Lot 47,0.0,705000000000.0,3,3
2000,42,New Yorker,0.0,691000000000.0,6,6
2000,43,Providence,0.0,620000000000.0,3,2
2000,44,New Latin,0.0,535000000000.0,2,2
2000,45,Winstar,0.0,521000000000.0,2,3
2000,46,Artistic License,0.0,488000000000.0,3,3
2000,47,Rialto,0.0,460000000000.0,1,1
2000,48,Strand,0.0,426000000000.0,5,5
2000,49,7th Art,0.0,421000000000.0,3,3
2000,50,Little Villa,0.0,392000000000.0,1,1
2000,51,Cinema Libre,0.0,377000000000.0,1,1
2000,52,First Run,0.0,370000000000.0,3,2
2000,53,North by Northwest,0.0,367000000000.0,1,0
2000,54,Cho,0.0,364000000000.0,1,1
2000,55,IDP,0.0,358000000000.0,2,2
2000,56,Wellspring,0.0,338000000000.0,1,1
2000,57,Unapix Ent.,0.0,318000000000.0,2,2
2000,58,Palm,0.0,310000000000.0,1,1
2000,59,Castle Hill,0.0,284000000000.0,2,2
2000,60,Stratosphere,0.0,278000000000.0,1,1
